ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
510,Henry Oldfield,460.666007784971,Technical college,3/17/2022,Henry Oldfield,Henry Oldfield,Henry_Oldfield2199@acrit.org,0-553-655-4685,Male,12/19/2021,San Francisco,146.329419533875
511,John Notman,430.190707349773,Technical college,4/11/2022,John Notman,John Notman,John_Notman2997@famism.biz,5-835-045-4583,Male,1/3/2022,Jacksonville,88.6738244153903
512,Camila Vaughn,485.083073751574,Graduate school,4/6/2022,Camila Vaughn,Camila Vaughn,Camila_Vaughn5110@irrepsy.com,0-388-042-8161,Female,10/12/2020,Oakland,59.7608437653449
513,Phillip Parker,129.553534280767,University college,4/16/2022,Phillip Parker,Phillip Parker,Phillip_Parker1466@typill.biz,6-043-184-1544,Male,7/24/2020,Salem,47.718508678823
514,Russel Steer,36.8087522191036,Graduate school,3/3/2022,Russel Steer,Russel Steer,Russel_Steer1561@ovock.tech,5-884-664-7011,Male,10/30/2021,Arlington,55.2421645607064
515,Estrella Collins,166.364389494231,Technical college,4/10/2022,Estrella Collins,Estrella Collins,Estrella_Collins5811@gembat.biz,8-458-516-5863,Female,5/17/2021,Sacramento,26.8221603272586
516,Zoe Warren,-51.0848676758282,Gymnasium,3/26/2022,Zoe Warren,Zoe Warren,Zoe_Warren357@womeona.net,6-481-512-5046,Female,1/1/2021,Stockton,116.381917524795
517,Skylar Devonport,189.180514872158,Public university,3/20/2022,Skylar Devonport,Skylar Devonport,Skylar_Devonport6181@typill.biz,6-816-150-3235,Female,6/17/2021,Nashville,193.631790752817
518,Karla Gaynor,491.708705961569,Graduate school,3/1/2022,Karla Gaynor,Karla Gaynor,Karla_Gaynor5682@bretoux.com,4-368-317-7202,Female,7/25/2021,Philadelphia,88.6890396846873
519,Cassandra Richards,-11.5474984704272,Junior college,4/16/2022,Cassandra Richards,Cassandra Richards,Cassandra_Richards8426@bungar.biz,0-600-383-2440,Female,1/22/2021,Chicago,151.12714520289
520,Ilona Lloyd,42.3582029353633,Public university,3/13/2022,Ilona Lloyd,Ilona Lloyd,Ilona_Lloyd7166@supunk.biz,6-411-451-1841,Female,12/31/2021,San Francisco,187.608182522751
521,Ron Collins,467.269514893773,Technical college,3/22/2022,Ron Collins,Ron Collins,Ron_Collins6425@muall.tech,8-703-828-7725,Male,1/8/2021,Atlanta,-8.49066282878195
522,Joseph Stone,336.719240736551,High school,3/25/2022,Joseph Stone,Joseph Stone,Joseph_Stone8265@tonsy.org,0-372-364-1430,Male,8/11/2021,Santa Ana,26.0540886242195
523,Doug Gosling,352.895589644041,Middle school,3/4/2022,Doug Gosling,Doug Gosling,Doug_Gosling3573@ubusive.com,7-815-641-0507,Male,3/14/2021,Sacramento,177.932569405964
524,Faith Williams,259.212235823838,University-preparatory school,3/30/2022,Faith Williams,Faith Williams,Faith_Williams4033@guentu.biz,7-102-744-0051,Female,9/17/2020,Albuquerque,27.0182271008465
525,Olivia Edmonds,59.9183215796567,Corporate university,3/18/2022,Olivia Edmonds,Olivia Edmonds,Olivia_Edmonds5334@dionrab.com,6-100-733-0417,Female,4/16/2021,Wien,157.312541687541
526,Carolyn Torres,315.184538683009,Graduate school,4/13/2022,Carolyn Torres,Carolyn Torres,Carolyn_Torres5923@ubusive.com,8-443-211-6870,Female,5/12/2021,Bridgeport,58.9898687568446
