ID,name,Jee marks,school name,date of application,Father name,Mother name,EmailId,ContactNo,Gender,School completion date,City,CBSE marks
1,Marigold Jefferson,334.227346059041,Gymnasium,3/28/2022,Marigold Jefferson,Marigold Jefferson,Marigold_Jefferson7971@brety.org,6-670-642-2700,Female,9/19/2020,Garland,186.355160947123
2,Scarlett Sylvester,53.2208226491794,High school,3/30/2022,Scarlett Sylvester,Scarlett Sylvester,Scarlett_Sylvester2823@joiniaa.com,4-671-564-7814,Female,6/25/2021,Norfolk,87.8843823442628
3,Alessia Jarrett,357.186731181194,Public university,3/22/2022,Alessia Jarrett,Alessia Jarrett,Alessia_Jarrett9920@deavo.com,3-555-231-8860,Female,1/8/2022,Orlando,158.104329422631
4,Tyler Rowlands,455.956346445231,Technical college,4/15/2022,Tyler Rowlands,Tyler Rowlands,Tyler_Rowlands1133@gembat.biz,6-841-001-5175,Male,6/11/2021,Henderson,186.791761532795
5,Clint Murray,158.660508945892,Junior college,4/2/2022,Clint Murray,Clint Murray,Clint_Murray6847@yahoo.com,6-753-438-0521,Male,9/17/2021,Columbus,199.023457415413
6,Marilyn Edwards,491.688748048473,University college,3/25/2022,Marilyn Edwards,Marilyn Edwards,Marilyn_Edwards3591@famism.biz,2-477-008-0417,Female,11/28/2021,Paris,19.3206767855774
7,Barney Cox,-21.1210326604177,University-preparatory school,4/12/2022,Barney Cox,Barney Cox,Barney_Cox6221@deons.tech,6-228-486-0258,Male,12/27/2020,Zurich,116.791910427991
8,Adelaide Utterson,89.9539062296757,Corporate university,3/16/2022,Adelaide Utterson,Adelaide Utterson,Adelaide_Utterson1333@liret.org,0-701-743-4740,Female,1/29/2021,Worcester,43.6991027326785
9,Britney Crawford,-94.5950693299971,High school,4/17/2022,Britney Crawford,Britney Crawford,Britney_Crawford9788@bretoux.com,8-137-621-3580,Female,6/23/2020,Hayward,6.54495891115859
10,Penelope Griffiths,261.107854046443,Corporate university,4/11/2022,Penelope Griffiths,Penelope Griffiths,Penelope_Griffiths2303@gmail.com,2-710-702-1438,Female,6/19/2021,Prague,135.067084923418
11,Nancy Paterson,272.211361463746,University-preparatory school,3/30/2022,Nancy Paterson,Nancy Paterson,Nancy_Paterson5786@typill.biz,4-356-184-2848,Female,4/8/2022,Lincoln,135.952710011486
12,Johnathan Casey,338.421732006791,University college,3/11/2022,Johnathan Casey,Johnathan Casey,Johnathan_Casey7037@jiman.org,2-854-602-0814,Male,3/8/2022,Lisbon,-0.415941146396073
13,Mark Rose,280.107787311593,University college,4/2/2022,Mark Rose,Mark Rose,Mark_Rose9516@bulaffy.com,0-125-136-6865,Male,10/17/2021,Valetta,-3.42526126253664
14,Teagan Reid,174.976923771192,University-preparatory school,3/15/2022,Teagan Reid,Teagan Reid,Teagan_Reid8985@liret.org,0-023-853-4122,Female,4/14/2021,Lakewood,-5.11519660899192
15,Makenzie Becker,-99.7063456772391,University-preparatory school,4/6/2022,Makenzie Becker,Makenzie Becker,Makenzie_Becker9615@infotech44.tech,6-044-847-6104,Female,8/16/2021,Long Beach,102.408973016501
16,Joseph Drummond,-0.834851713774191,High school,3/2/2022,Joseph Drummond,Joseph Drummond,Joseph_Drummond3538@tonsy.org,6-224-480-8302,Male,9/16/2021,Hollywood,73.7958509855884
17,Carla Tate,124.203685557099,University college,4/14/2022,Carla Tate,Carla Tate,Carla_Tate4750@sheye.org,4-677-036-4815,Female,4/25/2021,Fremont,144.691830701983
18,Martin Andrews,125.524604582472,Junior college,4/13/2022,Martin Andrews,Martin Andrews,Martin_Andrews6374@bretoux.com,8-827-876-8828,Male,10/21/2021,Jacksonville,49.4540030665016
19,Makenzie Parr,180.140020056227,Public university,3/20/2022,Makenzie Parr,Makenzie Parr,Makenzie_Parr2395@hourpy.biz,7-285-025-3587,Female,11/3/2021,Orlando,165.027570254648
20,Martin Dickson,450.260987970634,High school,3/24/2022,Martin Dickson,Martin Dickson,Martin_Dickson5712@deons.tech,6-630-474-3518,Male,11/1/2021,Springfield,95.7792377834112
21,Joseph Norman,439.195572374945,University college,3/20/2022,Joseph Norman,Joseph Norman,Joseph_Norman731@hourpy.biz,6-071-835-0604,Male,7/27/2020,Tokyo,37.7798714003432
22,Leroy Samuel,335.347819253033,University-preparatory school,4/11/2022,Leroy Samuel,Leroy Samuel,Leroy_Samuel2186@vetan.org,6-431-780-4273,Male,12/23/2021,Chicago,69.2636382595001
23,Danielle Potts,108.571051504263,Gymnasium,3/14/2022,Danielle Potts,Danielle Potts,Danielle_Potts1769@liret.org,8-436-775-3186,Female,2/26/2022,Fayetteville,134.096105437305
24,Gabriel Coll,271.991466723378,Gymnasium,3/11/2022,Gabriel Coll,Gabriel Coll,Gabriel_Coll4302@supunk.biz,3-154-445-8888,Male,7/10/2021,Moreno Valley,23.396097872125
25,Thea Brett,171.203401796149,Middle school,4/15/2022,Thea Brett,Thea Brett,Thea_Brett200@gmail.com,7-752-333-2346,Female,11/28/2021,Tokyo,121.788766763075
26,Andie Watson,499.398715044557,Graduate school,4/3/2022,Andie Watson,Andie Watson,Andie_Watson617@qater.org,2-841-206-0037,Female,3/10/2022,Fort Lauderdale,61.9237752151321
27,Savannah Cavanagh,491.327103350464,University college,4/8/2022,Savannah Cavanagh,Savannah Cavanagh,Savannah_Cavanagh90@fuliss.net,6-353-228-4835,Female,7/19/2021,Richmond,88.0391031522486
28,Ronald Wood,325.753666289502,University-preparatory school,4/15/2022,Ronald Wood,Ronald Wood,Ronald_Wood8417@sheye.org,3-030-527-5317,Male,4/10/2022,Fort Lauderdale,70.7328562087998
29,Jack Irving,370.005300682506,Middle school,4/2/2022,Jack Irving,Jack Irving,Jack_Irving431@joiniaa.com,0-152-620-5637,Male,4/12/2020,Tallahassee,60.5805176303631
